day	guide	inner_buffer	response	response_kind	target_cell_type	block_size	sample_1_patches	sample_2_patches	effect	ci_low	ci_high	permutation_p	replicate_direction_consistency	sample_effect_min	sample_effect_max	spatial_blocks	global_fdr
7	sgGata3	60.0	fraction_NK	composition	NK	400.0	31	27	0.0075672220578626125	-0.0019237470068707173	0.0180190968742121	0.185	1.0	0.004556895364954411	0.010577548750770813	58	
7	sgGata3	60.0	fraction_T	composition	T	400.0	31	27	-0.013447866626984814	-0.03905357828013679	0.008145693843392964	0.264	0.5	-0.02773873632803067	0.0008430030740610395	58	
7	sgGata3	60.0	hypoxia	state	Malignant	400.0	30	26	0.04595867265493442	-0.019625404433180123	0.11445315969713885	0.212	1.0	0.009278248135860149	0.08263909717400869	56	
7	sgGata3	60.0	ifn_response	state	Malignant	400.0	30	26	0.01816654883038539	-0.028069050488874127	0.07380640479604687	0.524	0.5	-0.011242376497158637	0.04757547415792942	56	
7	sgGata3	60.0	macrophage_inflammatory	state	Macrophages	400.0	31	27	0.022627511231413416	-0.018691976381320585	0.06542750349150928	0.341	0.5	-0.037730621834916454	0.08298564429774329	58	
7	sgGata3	60.0	macrophage_spp1_trem2	state	Macrophages	400.0	31	27	0.06832166875544557	-0.023542922913689906	0.17117343752777364	0.154	1.0	0.06338263062700149	0.07326070688388965	58	
7	sgGata3	60.0	tgfb_ecm	state	Fibroblast	400.0	17	20	-0.10011395352947361	-0.2903655828228768	0.11720533524749459	0.374	1.0	-0.18062572268878713	-0.019602184370160102	37	
7	sgZc3h12a	20.0	cytotoxicity	state	T+NK	400.0	86	30	0.01370170619103766	-0.04246405547259953	0.0761803851198347	0.668	0.5	-0.027831420756694748	0.05523483313877007	111	
7	sgZc3h12a	20.0	exhaustion	state	T+NK	400.0	86	30	-0.004953517582458644	-0.02613227221045817	0.016741273838774957	0.644	1.0	-0.008048728244697176	-0.001858306920220112	111	
7	sgZc3h12a	20.0	fraction_DC	composition	DC	400.0	86	30	0.004924839080733999	-0.003116337766595767	0.01259000859367962	0.268	1.0	0.003645653765573493	0.0062040243958945045	111	
7	sgZc3h12a	20.0	fraction_Endothelial	composition	Endothelial	400.0	86	30	0.0034113571234594075	-0.0020780083481372652	0.00874245888052188	0.246	0.5	-0.00025467285096852015	0.0070773870978873355	111	
7	sgZc3h12a	20.0	fraction_Fibroblast	composition	Fibroblast	400.0	86	30	-0.002302508543447505	-0.015964850959000954	0.013110080733481879	0.742	0.5	-0.008146240596712075	0.0035412235098170645	111	
7	sgZc3h12a	20.0	fraction_Macrophages	composition	Macrophages	400.0	86	30	-0.010977837678027791	-0.03387392195679545	0.01134917582463853	0.358	1.0	-0.015071744620595214	-0.006883930735460369	111	
7	sgZc3h12a	20.0	fraction_Malignant	composition	Malignant	400.0	86	30	0.013261921989585417	-0.0010225733431723043	0.028336521875514355	0.1	1.0	0.008112437344289446	0.018411406634881385	111	
7	sgZc3h12a	20.0	fraction_NK	composition	NK	400.0	86	30	0.005555182071628281	0.0006136240026776767	0.011301313622285012	0.052	1.0	0.0049853257580570265	0.006125038385199536	111	
7	sgZc3h12a	20.0	fraction_T	composition	T	400.0	86	30	-0.005749393718766024	-0.01874496608663739	0.008270877118276865	0.39	1.0	-0.010534577332538647	-0.0009642101049934005	111	
7	sgZc3h12a	20.0	hypoxia	state	Malignant	400.0	86	30	-0.029149696701249346	-0.0781221152428648	0.022681438171146498	0.23	1.0	-0.03205303286724701	-0.026246360535251683	111	
7	sgZc3h12a	20.0	ifn_response	state	Malignant	400.0	86	30	-0.001445419417852433	-0.03173734674976686	0.028244056267690467	0.937	0.5	-0.021274531581278504	0.018383692745573638	111	
7	sgZc3h12a	20.0	macrophage_inflammatory	state	Macrophages	400.0	86	30	0.0012807804242064712	-0.02753126579021551	0.029657695791674297	0.938	0.5	-0.003663629004410629	0.006225189852823571	111	
7	sgZc3h12a	20.0	macrophage_spp1_trem2	state	Macrophages	400.0	86	30	-0.0509574605141045	-0.09142962135194391	-0.003245920125203981	0.032	1.0	-0.06660241890570213	-0.03531250212250686	111	
7	sgZc3h12a	20.0	tgfb_ecm	state	Fibroblast	400.0	75	28	0.02912542055446964	-0.06405453525943197	0.11979471669198594	0.544	0.5	-0.015331726993473483	0.07358256810241276	98	
