barcode	sample	clone_id	target_gene	x_um	y_um
s_008um_00415_00112-1	lm994	lm994_MC0006	Ccn1	896.0	3320.0
s_008um_00409_00113-1	lm994	lm994_MC0005	Ccn1	904.0	3272.0
s_008um_00404_00111-1	lm994	lm994_MC0005	Ccn1	888.0	3232.0
s_008um_00409_00121-1	lm994	lm994_MC0006	Ccn1	968.0	3272.0
s_008um_00397_00131-1	lm994	lm994_MC0005	Ccn1	1048.0	3176.0
s_008um_00413_00145-1	lm994	lm994_MC0004	Ccn1	1160.0	3304.0
s_008um_00425_00141-1	lm994	lm994_MC0004	Ccn1	1128.0	3400.0
s_008um_00418_00147-1	lm994	lm994_MC0004	Ccn1	1176.0	3344.0
s_008um_00436_00148-1	lm994	lm994_MC0007	Ccn1	1184.0	3488.0
s_008um_00399_00119-1	lm994	lm994_MC0005	Ccn1	952.0	3192.0
s_008um_00399_00125-1	lm994	lm994_MC0005	Ccn1	1000.0	3192.0
s_008um_00392_00130-1	lm994	lm994_MC0005	Ccn1	1040.0	3136.0
s_008um_00382_00113-1	lm994	lm994_MC0008	Ccn1	904.0	3056.0
s_008um_00400_00130-1	lm994	lm994_MC0005	Ccn1	1040.0	3200.0
s_008um_00395_00140-1	lm994	lm994_MC0005	Ccn1	1120.0	3160.0
s_008um_00399_00122-1	lm994	lm994_MC0005	Ccn1	976.0	3192.0
s_008um_00398_00134-1	lm994	lm994_MC0005	Ccn1	1072.0	3184.0
s_008um_00401_00140-1	lm994	lm994_MC0005	Ccn1	1120.0	3208.0
s_008um_00387_00122-1	lm994	lm994_MC0008	Ccn1	976.0	3096.0
s_008um_00428_00149-1	lm994	lm994_MC0004	Ccn1	1192.0	3424.0
s_008um_00390_00125-1	lm994	lm994_MC0005	Ccn1	1000.0	3120.0
s_008um_00413_00115-1	lm994	lm994_MC0006	Ccn1	920.0	3304.0
s_008um_00399_00123-1	lm994	lm994_MC0005	Ccn1	984.0	3192.0
s_008um_00390_00113-1	lm994	lm994_MC0008	Ccn1	904.0	3120.0
s_008um_00407_00114-1	lm994	lm994_MC0005	Ccn1	912.0	3256.0
s_008um_00393_00133-1	lm994	lm994_MC0005	Ccn1	1064.0	3144.0
s_008um_00399_00112-1	lm994	lm994_MC0005	Ccn1	896.0	3192.0
s_008um_00384_00122-1	lm994	lm994_MC0008	Ccn1	976.0	3072.0
s_008um_00383_00112-1	lm994	lm994_MC0008	Ccn1	896.0	3064.0
s_008um_00389_00124-1	lm994	lm994_MC0005	Ccn1	992.0	3112.0
s_008um_00397_00112-1	lm994	lm994_MC0005	Ccn1	896.0	3176.0
s_008um_00381_00121-1	lm994	lm994_MC0008	Ccn1	968.0	3048.0
s_008um_00388_00140-1	lm994	lm994_MC0005	Ccn1	1120.0	3104.0
s_008um_00408_00115-1	lm994	lm994_MC0005	Ccn1	920.0	3264.0
s_008um_00416_00146-1	lm994	lm994_MC0004	Ccn1	1168.0	3328.0
s_008um_00380_00125-1	lm994	lm994_MC0008	Ccn1	1000.0	3040.0
s_008um_00394_00132-1	lm994	lm994_MC0005	Ccn1	1056.0	3152.0
s_008um_00403_00143-1	lm994	lm994_MC0005	Ccn1	1144.0	3224.0
s_008um_00386_00135-1	lm994	lm994_MC0005	Ccn1	1080.0	3088.0
s_008um_00410_00113-1	lm994	lm994_MC0006	Ccn1	904.0	3280.0
s_008um_00398_00136-1	lm994	lm994_MC0005	Ccn1	1088.0	3184.0
s_008um_00389_00117-1	lm994	lm994_MC0008	Ccn1	936.0	3112.0
s_008um_00396_00117-1	lm994	lm994_MC0005	Ccn1	936.0	3168.0
s_008um_00435_00150-1	lm994	lm994_MC0007	Ccn1	1200.0	3480.0
s_008um_00416_00150-1	lm994	lm994_MC0004	Ccn1	1200.0	3328.0
s_008um_00404_00124-1	lm994	lm994_MC0005	Ccn1	992.0	3232.0
s_008um_00398_00125-1	lm994	lm994_MC0005	Ccn1	1000.0	3184.0
s_008um_00429_00148-1	lm994	lm994_MC0004	Ccn1	1184.0	3432.0
s_008um_00409_00115-1	lm994	lm994_MC0006	Ccn1	920.0	3272.0
s_008um_00411_00112-1	lm994	lm994_MC0006	Ccn1	896.0	3288.0
s_008um_00387_00117-1	lm994	lm994_MC0008	Ccn1	936.0	3096.0
s_008um_00398_00132-1	lm994	lm994_MC0005	Ccn1	1056.0	3184.0
s_008um_00384_00116-1	lm994	lm994_MC0008	Ccn1	928.0	3072.0
s_008um_00397_00117-1	lm994	lm994_MC0005	Ccn1	936.0	3176.0
s_008um_00404_00116-1	lm994	lm994_MC0005	Ccn1	928.0	3232.0
s_008um_00418_00114-1	lm994	lm994_MC0006	Ccn1	912.0	3344.0
s_008um_00413_00147-1	lm994	lm994_MC0004	Ccn1	1176.0	3304.0
s_008um_00385_00131-1	lm994	lm994_MC0005	Ccn1	1048.0	3080.0
s_008um_00402_00113-1	lm994	lm994_MC0005	Ccn1	904.0	3216.0
s_008um_00437_00141-1	lm994	lm994_MC0007	Ccn1	1128.0	3496.0
s_008um_00418_00117-1	lm994	lm994_MC0006	Ccn1	936.0	3344.0
s_008um_00398_00142-1	lm994	lm994_MC0005	Ccn1	1136.0	3184.0
s_008um_00401_00114-1	lm994	lm994_MC0005	Ccn1	912.0	3208.0
s_008um_00399_00129-1	lm994	lm994_MC0005	Ccn1	1032.0	3192.0
s_008um_00415_00144-1	lm994	lm994_MC0004	Ccn1	1152.0	3320.0
s_008um_00389_00126-1	lm994	lm994_MC0005	Ccn1	1008.0	3112.0
s_008um_00423_00146-1	lm994	lm994_MC0004	Ccn1	1168.0	3384.0
s_008um_00398_00112-1	lm994	lm994_MC0005	Ccn1	896.0	3184.0
s_008um_00393_00142-1	lm994	lm994_MC0005	Ccn1	1136.0	3144.0
